"","item_no","sales_period","total_sold","year_round_product","in_seasonal_dominance","in_secondary_seasonal_dominance","hv_product"
"426","4242BKGPF",6,0,0,0,0,0
"427","440-005-5",1,135,1,0,0,0
"428","440-005-5",2,335,1,0,0,0
"429","440-005-5",3,385,1,0,0,0
"430","440-005-5",4,200,1,0,0,0
"431","440-005-5",5,190,1,0,0,0
"432","440-005-5",6,160,1,0,0,0
"433","440-908",1,1320,0,1,0,0
"434","440-908",2,0,0,0,0,0
"435","440-908",3,0,0,0,0,0
"436","440-908",4,0,0,0,0,0
"437","440-908",5,0,0,0,0,0
"438","440-908",6,0,0,0,0,0
"439","440-945",1,8,0,0,0,0
"440","440-945",2,1002,0,0,1,0
"441","440-945",3,8,0,0,0,0
"442","440-945",4,464,0,0,0,0
"443","440-945",5,144,0,0,0,0
"444","440-945",6,360,0,0,0,0
"445","4L154-1624",1,172,1,0,0,0
"446","4L154-1624",2,108,1,0,0,0
"447","4L154-1624",3,60,1,0,0,0
"448","4L154-1624",4,168,1,0,0,0
"449","4L154-1624",5,0,1,0,0,0
"450","4L154-1624",6,110,1,0,0,0
"451","4MBTST-1117",1,0,0,0,0,0
"452","4MBTST-1117",2,0,0,0,0,0
"453","4MBTST-1117",3,0,0,0,0,0
"454","4MBTST-1117",4,0,0,0,0,0
"455","4MBTST-1117",5,0,0,0,0,0
"456","4MBTST-1117",6,500,0,1,0,0
"457","4MBTST-2424",1,0,0,0,0,0
"458","4MBTST-2424",2,0,0,0,0,0
"459","4MBTST-2424",3,0,0,0,0,0
"460","4MBTST-2424",4,0,0,0,0,0
"461","4MBTST-2424",5,0,0,0,0,0
"462","4MBTST-2424",6,500,0,1,0,0
"463","5HD/AS/22",1,200,0,0,0,0
"464","5HD/AS/22",2,200,0,0,0,0
"465","5HD/AS/22",3,0,0,0,0,0
"466","5HD/AS/22",4,0,0,0,0,0
"467","5HD/AS/22",5,200,0,0,0,0
"468","5HD/AS/22",6,0,0,0,0,0
"469","69850",1,700,1,0,0,0
"470","69850",2,0,1,0,0,0
"471","69850",3,700,1,0,0,0
"472","69850",4,700,1,0,0,0
"473","69850",5,0,1,0,0,0
"474","69850",6,700,1,0,0,0
"475","6MBTST-PD-8781234",1,0,0,0,0,0
"476","6MBTST-PD-8781234",2,0,0,0,0,0
"477","6MBTST-PD-8781234",3,0,0,0,0,0
"478","6MBTST-PD-8781234",4,750,0,0,1,0
"479","6MBTST-PD-8781234",5,0,0,0,0,0
"480","6MBTST-PD-8781234",6,750,0,0,1,0
"481","865-000",1,96,1,0,0,0
"482","865-000",2,96,1,0,0,0
"483","865-000",3,0,1,0,0,0
"484","865-000",4,192,1,0,0,0
"485","865-000",5,84,1,0,0,0
"486","865-000",6,97,1,0,0,0
"487","865-006",1,140,1,0,0,0
"488","865-006",2,220,1,0,0,0
"489","865-006",3,0,1,0,0,0
"490","865-006",4,120,1,0,0,0
"491","865-006",5,120,1,0,0,0
"492","865-006",6,0,1,0,0,0
"493","900-191636",1,152,0,0,0,0
"494","900-191636",2,288,0,0,0,0
"495","900-191636",3,40,0,0,0,0
"496","900-191636",4,292,0,0,0,0
"497","900-191636",5,48,0,0,0,0
"498","900-191636",6,264,0,0,0,0
"499","A-AP5P2P-WE",1,250,1,0,0,0
"500","A-AP5P2P-WE",2,200,1,0,0,0
"501","A-AP5P2P-WE",3,250,1,0,0,0
"502","A-AP5P2P-WE",4,250,1,0,0,0
"503","A-AP5P2P-WE",5,250,1,0,0,0
"504","A-AP5P2P-WE",6,150,1,0,0,0
"505","A510004",1,17200,1,0,0,1
"506","A510004",2,7184,1,0,0,1
"507","A510004",3,16588,1,0,0,1
"508","A510004",4,10700,1,0,0,1
"509","A510004",5,15375,1,0,0,1
"510","A510004",6,8000,1,0,0,1
"511","A510011",1,0,0,0,0,0
"512","A510011",2,0,0,0,0,0
"513","A510011",3,0,0,0,0,0
"514","A510011",4,400,0,1,0,0
"515","A510011",5,50,0,0,0,0
"516","A510011",6,100,0,0,0,0
"517","ACT-2-726",1,0,0,0,0,0
"518","ACT-2-726",2,200,0,0,1,0
"519","ACT-2-726",3,0,0,0,0,0
"520","ACT-2-726",4,0,0,0,0,0
"521","ACT-2-726",5,300,0,1,0,0
"522","ACT-2-726",6,0,0,0,0,0
"523","ACT-203",1,528,1,0,0,0
"524","ACT-203",2,552,1,0,0,0
"525","ACT-203",3,852,1,0,0,0
"526","ACT-203",4,1470,1,0,0,0
"527","ACT-203",5,360,1,0,0,0
"528","ACT-203",6,408,1,0,0,0
"529","ACT-205",1,528,0,0,0,0
"530","ACT-205",2,168,0,0,0,0
"531","ACT-205",3,504,0,0,0,0
"532","ACT-205",4,600,0,0,0,0
"533","ACT-205",5,120,0,0,0,0
"534","ACT-205",6,155,0,0,0,0
"535","AF-1.875X5SS/HC",1,0,0,0,0,0
"536","AF-1.875X5SS/HC",2,640,0,1,0,0
"537","AF-1.875X5SS/HC",3,0,0,0,0,0
"538","AF-1.875X5SS/HC",4,0,0,0,0,0
"539","AF-1.875X5SS/HC",5,0,0,0,0,0
"540","AF-1.875X5SS/HC",6,320,0,0,0,0
"541","AF-1658-CGW-16S",1,1200,0,1,0,0
"542","AF-1658-CGW-16S",2,0,0,0,0,0
"543","AF-1658-CGW-16S",3,0,0,0,0,0
"544","AF-1658-CGW-16S",4,0,0,0,0,0
"545","AF-1658-CGW-16S",5,1000,0,0,1,0
"546","AF-1658-CGW-16S",6,0,0,0,0,0
"547","AF-1758-5.125SB",1,600,1,0,0,0
"548","AF-1758-5.125SB",2,200,1,0,0,0
"549","AF-1758-5.125SB",3,620,1,0,0,0
"550","AF-1758-5.125SB",4,450,1,0,0,0
"551","AF-1758-5.125SB",5,220,1,0,0,0
"552","AF-1758-5.125SB",6,360,1,0,0,0
"553","AF-2773",1,586,0,1,0,0
"554","AF-2773",2,0,0,0,0,0
"555","AF-2773",3,446,0,0,1,0
"556","AF-2773",4,0,0,0,0,0
"557","AF-2773",5,0,0,0,0,0
"558","AF-2773",6,0,0,0,0,0
"559","AF-36X6.25SB-HPA",1,300,0,0,0,0
"560","AF-36X6.25SB-HPA",2,0,0,0,0,0
"561","AF-36X6.25SB-HPA",3,0,0,0,0,0
"562","AF-36X6.25SB-HPA",4,300,0,0,0,0
"563","AF-36X6.25SB-HPA",5,300,0,0,0,0
"564","AF-36X6.25SB-HPA",6,0,0,0,0,0
"565","AL400B",1,320,1,0,0,0
"566","AL400B",2,0,1,0,0,0
"567","AL400B",3,320,1,0,0,0
"568","AL400B",4,160,1,0,0,0
"569","AL400B",5,160,1,0,0,0
"570","AL400B",6,160,1,0,0,0
"571","AO0507225R",1,200,1,0,0,0
"572","AO0507225R",2,0,1,0,0,0
"573","AO0507225R",3,200,1,0,0,0
"574","AO0507225R",4,200,1,0,0,0
"575","AO0507225R",5,0,1,0,0,0
"576","AO0507225R",6,200,1,0,0,0
"577","AP150P65SHS",1,100,1,0,0,0
"578","AP150P65SHS",2,350,1,0,0,0
"579","AP150P65SHS",3,0,1,0,0,0
"580","AP150P65SHS",4,100,1,0,0,0
"581","AP150P65SHS",5,100,1,0,0,0
"582","AP150P65SHS",6,100,1,0,0,0
"583","AP1SH2P-WE",1,0,0,0,0,0
"584","AP1SH2P-WE",2,200,0,0,0,0
"585","AP1SH2P-WE",3,200,0,0,0,0
"586","AP1SH2P-WE",4,0,0,0,0,0
"587","AP1SH2P-WE",5,0,0,0,0,0
"588","AP1SH2P-WE",6,200,0,0,0,0
"589","AP400-30AN-DX",1,168,1,0,0,0
"590","AP400-30AN-DX",2,252,1,0,0,0
"591","AP400-30AN-DX",3,228,1,0,0,0
"592","AP400-30AN-DX",4,228,1,0,0,0
"593","AP400-30AN-DX",5,192,1,0,0,0
"594","AP400-30AN-DX",6,372,1,0,0,0
"595","AS1324242208",1,0,0,0,0,0
"596","AS1324242208",2,0,0,0,0,0
"597","AS1324242208",3,88,0,0,0,0
"598","AS1324242208",4,92,0,0,0,0
"599","AS1324242208",5,160,0,0,0,0
"600","AS1324242208",6,160,0,0,0,0
"601","AS1324242608",1,200,1,0,0,0
"602","AS1324242608",2,400,1,0,0,0
"603","AS1324242608",3,240,1,0,0,0
"604","AS1324242608",4,360,1,0,0,0
"605","AS1324242608",5,120,1,0,0,0
"606","AS1324242608",6,240,1,0,0,0
"607","AS1420201205",1,70,0,0,0,0
"608","AS1420201205",2,140,0,0,0,0
"609","AS1420201205",3,70,0,0,0,0
"610","AS1420201205",4,300,0,0,0,0
"611","AS1420201205",5,275,0,0,0,0
"612","AS1420201205",6,125,0,0,0,0
"613","AS1424242608F",1,0,0,0,0,0
"614","AS1424242608F",2,464,0,0,1,0
"615","AS1424242608F",3,0,0,0,0,0
"616","AS1424242608F",4,0,0,0,0,0
"617","AS1424242608F",5,464,0,0,1,0
"618","AS1424242608F",6,0,0,0,0,0
"619","AS20016RD04.500",1,100,0,0,0,0
"620","AS20016RD04.500",2,0,0,0,0,0
"621","AS20016RD04.500",3,500,0,1,0,0
"622","AS20016RD04.500",4,0,0,0,0,0
"623","AS20016RD04.500",5,0,0,0,0,0
"624","AS20016RD04.500",6,0,0,0,0,0
"625","AS20016RD04.562",1,300,0,0,0,0
"626","AS20016RD04.562",2,0,0,0,0,0
"627","AS20016RD04.562",3,800,0,1,0,0
"628","AS20016RD04.562",4,0,0,0,0,0
"629","AS20016RD04.562",5,0,0,0,0,0
"630","AS20016RD04.562",6,400,0,0,0,0
"631","AS30012RD04.562",1,500,0,0,0,0
"632","AS30012RD04.562",2,0,0,0,0,0
"633","AS30012RD04.562",3,500,0,0,0,0
"634","AS30012RD04.562",4,0,0,0,0,0
"635","AS30012RD04.562",5,0,0,0,0,0
